target,dim,rep,variant,n_samples,runtime_s,energy_distance,mmd2,marginal_JS,ess
blr8,8,0,single@2000,2000,27.38,0.006442696075534,0.0043005824881128,0.0921937294343428,1928.453082872096
blr8,8,0,single@10000,10000,37.75,0.0079480427594231,0.0049888962876161,0.0584380003520136,9980.929823395538
blr8,8,0,uniform_pool,10000,137.62,0.0035755631863694,0.0038597401518043,0.0551388265731669,9854.108429549056
blr8,8,0,full_ensemble,10000,137.62,0.0026236793441607,0.0011205640727161,0.0729500655856781,9828.895751512033
blr8,8,1,single@2000,2000,26.47,0.0054323306278909,0.0043522345154269,0.0961166796791846,1931.8823159989888
blr8,8,1,single@10000,10000,38.1,0.0035730434918491,0.003591566824729,0.0571373513853893,9718.906740835351
blr8,8,1,uniform_pool,10000,141.79,0.0029819091418794,0.0017725126721879,0.0506290994873105,9809.752653270218
blr8,8,1,full_ensemble,10000,141.79,0.0011921186253951,0.0014082961502099,0.0700452214168686,9832.86013518011
blr8,8,2,single@2000,2000,26.95,0.006509185139335072,0.003302800021798724,0.09301060284277687,1943.0735159713627
blr8,8,2,single@10000,10000,37.43,0.008395472976166718,0.004865097704379373,0.06043553845738041,9947.94351081657
blr8,8,2,uniform_pool,10000,143.18,0.0032126456123315883,0.0012655287315188612,0.04960391199802561,9802.921104892299
blr8,8,2,full_ensemble,10000,143.18,0.0023286881332351683,0.001434605056664262,0.07200342983083491,9925.739568088382
