target,dim,rep,variant,JS,pool_ESS,w_min,w_max
bimodal_gaussian,20,1,pool_uniform,0.04322673105067281,9816.414956068893,,
bimodal_gaussian,20,1,pool_resample_uniform,0.056477010576173416,,,
bimodal_gaussian,20,1,pool_memberweight_resample,0.0568026340203243,,0.13968014696860634,0.3594960104877182
bimodal_gaussian,20,1,pool_coverage_resample,0.05776749688780245,,,
bimodal_gaussian,20,1,pool_full_aggregation,0.05807138307471262,9757.941259740004,,
bimodal_gaussian,20,2,exact_single_10000,0.04373399023587119,,,
bimodal_gaussian,20,2,pool_uniform,0.04432804420804829,9898.921419933198,,
bimodal_gaussian,20,2,pool_resample_uniform,0.05564440343760261,,,
bimodal_gaussian,20,2,pool_memberweight_resample,0.05666810899532756,,0.10307264160451857,0.29483361877469866
bimodal_gaussian,20,2,pool_coverage_resample,0.05928392938527276,,,
bimodal_gaussian,20,2,pool_full_aggregation,0.058895555081267,9806.578422892919,,
bimodal_gaussian,20,3,exact_single_10000,0.04316395827934165,,,
bimodal_gaussian,20,3,pool_uniform,0.043364767143118696,9845.538960608976,,
bimodal_gaussian,20,3,pool_resample_uniform,0.056935010127747196,,,
bimodal_gaussian,20,3,pool_memberweight_resample,0.05802290041390571,,0.10002189706333456,0.27091010437968394
bimodal_gaussian,20,3,pool_coverage_resample,0.056201568399344995,,,
bimodal_gaussian,20,3,pool_full_aggregation,0.05540694157301722,9786.250595926944,,
bimodal_gaussian,20,4,exact_single_10000,0.043029562921760724,,,
bimodal_gaussian,20,4,pool_uniform,0.043814474630453,9787.742677117105,,
bimodal_gaussian,20,4,pool_resample_uniform,0.057062019382785545,,,
bimodal_gaussian,20,4,pool_memberweight_resample,0.05740669094403979,,0.12327834690816403,0.29871378259286796
bimodal_gaussian,20,4,pool_coverage_resample,0.057528847969893424,,,
bimodal_gaussian,20,4,pool_full_aggregation,0.057384825644923164,9841.68085422944,,
bimodal_gaussian,50,0,exact_single_10000,0.043597363847682355,,,
bimodal_gaussian,50,0,pool_uniform,0.04306577207769311,9820.009556322502,,
bimodal_gaussian,50,0,pool_resample_uniform,0.05642071538925531,,,
bimodal_gaussian,50,0,pool_memberweight_resample,0.05719612402610658,,0.11410943476407318,0.30018185731254377
bimodal_gaussian,50,0,pool_coverage_resample,0.05605514659384604,,,
bimodal_gaussian,50,0,pool_full_aggregation,0.05739944534140872,9795.964430213811,,
