target,M,rep,variant,JS
correlated_gaussian,10,1,exact_single,0.034554898038088665
correlated_gaussian,10,1,pool_uniform,0.03464167685297733
correlated_gaussian,10,1,pool_full_aggregation,0.06392369020545312
correlated_gaussian,10,2,exact_single,0.03506251512371796
correlated_gaussian,10,2,pool_uniform,0.035229679526655365
correlated_gaussian,10,2,pool_full_aggregation,0.06612545573100656
correlated_gaussian,10,3,exact_single,0.034647375516902744
correlated_gaussian,10,3,pool_uniform,0.0349277094226759
correlated_gaussian,10,3,pool_full_aggregation,0.06631588405645018
correlated_gaussian,10,4,exact_single,0.034850744567009484
correlated_gaussian,10,4,pool_uniform,0.03574595791218557
correlated_gaussian,10,4,pool_full_aggregation,0.06658679685489488
correlated_gaussian,20,0,exact_single,0.03052914344896852
correlated_gaussian,20,0,pool_uniform,0.029917914243160003
correlated_gaussian,20,0,pool_full_aggregation,0.05518179860318525
correlated_gaussian,20,1,exact_single,0.029615490612742924
correlated_gaussian,20,1,pool_uniform,0.031084725283547398
correlated_gaussian,20,1,pool_full_aggregation,0.05591877582824302
correlated_gaussian,20,2,exact_single,0.030639697459167364
correlated_gaussian,20,2,pool_uniform,0.030441008913282146
correlated_gaussian,20,2,pool_full_aggregation,0.05603546046396122
correlated_gaussian,20,3,exact_single,0.030600628924179772
correlated_gaussian,20,3,pool_uniform,0.030134393048341007
correlated_gaussian,20,3,pool_full_aggregation,0.05756452577542247
correlated_gaussian,20,4,exact_single,0.03020162789553124
correlated_gaussian,20,4,pool_uniform,0.0303346246199482
correlated_gaussian,20,4,pool_full_aggregation,0.055483436626057994
funnel,2,0,exact_single,0.06310836584583197
funnel,2,0,pool_uniform,0.06537937512319916
funnel,2,0,pool_full_aggregation,0.10616413228710245
funnel,2,1,exact_single,0.06272031076325987
funnel,2,1,pool_uniform,0.0626519711275452
funnel,2,1,pool_full_aggregation,0.11009865786791613
funnel,2,2,exact_single,0.0642733290689835
funnel,2,2,pool_uniform,0.06091759454261432
funnel,2,2,pool_full_aggregation,0.11323264441700301
funnel,2,3,exact_single,0.06151245849480401
funnel,2,3,pool_uniform,0.06387191162392775
funnel,2,3,pool_full_aggregation,0.10235629852585926
funnel,2,4,exact_single,0.06359941285542216
funnel,2,4,pool_uniform,0.06296479341219234
funnel,2,4,pool_full_aggregation,0.10906803856745535
funnel,5,0,exact_single,0.043872330134563646
funnel,5,0,pool_uniform,0.043145044719744105
funnel,5,0,pool_full_aggregation,0.07223138995230538
funnel,5,1,exact_single,0.0436013547772048
funnel,5,1,pool_uniform,0.044204890479814435
funnel,5,1,pool_full_aggregation,0.07451316265640363
funnel,5,2,exact_single,0.04279416933142756
funnel,5,2,pool_uniform,0.04317699309151059
funnel,5,2,pool_full_aggregation,0.06698443812373858
funnel,5,3,exact_single,0.043669954787664875
funnel,5,3,pool_uniform,0.042781074780925056
funnel,5,3,pool_full_aggregation,0.06674123761492876
funnel,5,4,exact_single,0.04321780689581049
funnel,5,4,pool_uniform,0.04420333401485885
funnel,5,4,pool_full_aggregation,0.07084676137183617
funnel,10,0,exact_single,0.03596942014913136
funnel,10,0,pool_uniform,0.036315413279477404
funnel,10,0,pool_full_aggregation,0.06100324649362637
funnel,10,1,exact_single,0.03539215400339878
funnel,10,1,pool_uniform,0.03623747218040213
funnel,10,1,pool_full_aggregation,0.06110804347643043
funnel,10,2,exact_single,0.03495275826135361
funnel,10,2,pool_uniform,0.03405587324069308
funnel,10,2,pool_full_aggregation,0.056584240098779715
funnel,10,3,exact_single,0.03559483973028614
funnel,10,3,pool_uniform,0.035022176844039535
funnel,10,3,pool_full_aggregation,0.05803890405746522
funnel,10,4,exact_single,0.035490107187553244
funnel,10,4,pool_uniform,0.03505563105254259
funnel,10,4,pool_full_aggregation,0.053994032253304305
funnel,20,0,exact_single,0.03076483647551833
funnel,20,0,pool_uniform,0.030908284631914768
funnel,20,0,pool_full_aggregation,0.047338426436229715
funnel,20,1,exact_single,0.030279044643894044
funnel,20,1,pool_uniform,0.0298749610572979
funnel,20,1,pool_full_aggregation,0.05118213691270357
funnel,20,2,exact_single,0.030337582191048613
funnel,20,2,pool_uniform,0.03083018563381475
funnel,20,2,pool_full_aggregation,0.04952035183055559
funnel,20,3,exact_single,0.030899408899093844
funnel,20,3,pool_uniform,0.030812435085269523
funnel,20,3,pool_full_aggregation,0.04879628033422119
funnel,20,4,exact_single,0.030935683497046056
funnel,20,4,pool_uniform,0.031313911632941296
funnel,20,4,pool_full_aggregation,0.04670603442153286
gaussian_ring,2,0,exact_single,0.062975796085827
gaussian_ring,2,0,pool_uniform,0.06295005261643413
gaussian_ring,2,0,pool_full_aggregation,0.085504772871701
gaussian_ring,2,1,exact_single,0.06304792939088268
gaussian_ring,2,1,pool_uniform,0.06271579022777354
gaussian_ring,2,1,pool_full_aggregation,0.08561459676396806
gaussian_ring,2,2,exact_single,0.06339984964920706
gaussian_ring,2,2,pool_uniform,0.06221693258771367
gaussian_ring,2,2,pool_full_aggregation,0.08532347811818333
gaussian_ring,2,3,exact_single,0.06420974252032813
gaussian_ring,2,3,pool_uniform,0.062493917153003634
gaussian_ring,2,3,pool_full_aggregation,0.08678765177654217
gaussian_ring,2,4,exact_single,0.061525712436347246
gaussian_ring,2,4,pool_uniform,0.06354770690951482
gaussian_ring,2,4,pool_full_aggregation,0.0859080711280489
gaussian_ring,5,0,exact_single,0.042736617303723363
gaussian_ring,5,0,pool_uniform,0.044036616159637096
gaussian_ring,5,0,pool_full_aggregation,0.05788660860170082
gaussian_ring,5,1,exact_single,0.04323212838275687
gaussian_ring,5,1,pool_uniform,0.042943384101486
gaussian_ring,5,1,pool_full_aggregation,0.05632557147222981
gaussian_ring,5,2,exact_single,0.04401203473014448
gaussian_ring,5,2,pool_uniform,0.04361493663247308
gaussian_ring,5,2,pool_full_aggregation,0.0571837724341291
gaussian_ring,5,3,exact_single,0.04402072907466588
gaussian_ring,5,3,pool_uniform,0.04377731328485456
gaussian_ring,5,3,pool_full_aggregation,0.05882512760034562
gaussian_ring,5,4,exact_single,0.044012602544853334
gaussian_ring,5,4,pool_uniform,0.04402505124111038
gaussian_ring,5,4,pool_full_aggregation,0.056628774925459216
gaussian_ring,10,0,exact_single,0.03613476064729853
gaussian_ring,10,0,pool_uniform,0.0362614723638462
gaussian_ring,10,0,pool_full_aggregation,0.045093832371460224
gaussian_ring,10,1,exact_single,0.03497705929047458
gaussian_ring,10,1,pool_uniform,0.03577113908406859
gaussian_ring,10,1,pool_full_aggregation,0.04466550113161544
gaussian_ring,10,2,exact_single,0.03539144901400985
gaussian_ring,10,2,pool_uniform,0.03464305115955225
gaussian_ring,10,2,pool_full_aggregation,0.04388613486373933
gaussian_ring,10,3,exact_single,0.035802846289098564
gaussian_ring,10,3,pool_uniform,0.03539069907047314
gaussian_ring,10,3,pool_full_aggregation,0.04583760213293693
gaussian_ring,10,4,exact_single,0.0351696522729228
gaussian_ring,10,4,pool_uniform,0.035771885030036886
gaussian_ring,10,4,pool_full_aggregation,0.044509114116163255
gaussian_ring,20,0,exact_single,0.030028870069187592
gaussian_ring,20,0,pool_uniform,0.030815590776376012
gaussian_ring,20,0,pool_full_aggregation,0.03569569702262284
gaussian_ring,20,1,exact_single,0.030880231681239895
gaussian_ring,20,1,pool_uniform,0.03125240508113713
gaussian_ring,20,1,pool_full_aggregation,0.03577946643499988
gaussian_ring,20,2,exact_single,0.030949488360605466
gaussian_ring,20,2,pool_uniform,0.03150038941231119
gaussian_ring,20,2,pool_full_aggregation,0.036501006327396425
gaussian_ring,20,3,exact_single,0.030459244980415672
gaussian_ring,20,3,pool_uniform,0.03109197289081218
gaussian_ring,20,3,pool_full_aggregation,0.036355954965130645
gaussian_ring,20,4,exact_single,0.030640093735424728
gaussian_ring,20,4,pool_uniform,0.03046398296986938
gaussian_ring,20,4,pool_full_aggregation,0.036644367715387996
