kind,target,dim,N,nbins,rep,JS
curve,bimodal_gaussian,20,7000,100,1,0.04936608972447025
curve,bimodal_gaussian,20,7000,100,2,0.0487292816006885
curve,bimodal_gaussian,20,7000,100,3,0.050338767868662315
curve,bimodal_gaussian,20,7000,100,4,0.049317029135238576
curve,bimodal_gaussian,20,7000,100,5,0.04832278196634564
curve,funnel,20,7000,100,0,0.050201236603505596
curve,funnel,20,7000,100,1,0.04894016169045036
curve,funnel,20,7000,100,2,0.04978244501762165
curve,funnel,20,7000,100,3,0.04979883142127893
curve,funnel,20,7000,100,4,0.04950072148574473
curve,funnel,20,7000,100,5,0.05008428625832998
curve,correlated_gaussian,20,10000,100,0,0.04354910222148783
curve,correlated_gaussian,20,10000,100,1,0.04402544606344123
curve,correlated_gaussian,20,10000,100,2,0.043699449323534326
curve,correlated_gaussian,20,10000,100,3,0.04351180932090417
curve,correlated_gaussian,20,10000,100,4,0.04332618546667501
curve,correlated_gaussian,20,10000,100,5,0.04337812938968431
curve,bimodal_gaussian,20,10000,100,0,0.04312744922699107
curve,bimodal_gaussian,20,10000,100,1,0.04271308962549773
curve,bimodal_gaussian,20,10000,100,2,0.042563161805563667
curve,bimodal_gaussian,20,10000,100,3,0.0442686204963207
curve,bimodal_gaussian,20,10000,100,4,0.04197096697250767
curve,bimodal_gaussian,20,10000,100,5,0.0442308090215633
curve,funnel,20,10000,100,0,0.04290222105417488
curve,funnel,20,10000,100,1,0.04364894955899564
curve,funnel,20,10000,100,2,0.04307268486950083
curve,funnel,20,10000,100,3,0.043807008130765775
curve,funnel,20,10000,100,4,0.042873307515016786
curve,funnel,20,10000,100,5,0.04206485661347471
curve,correlated_gaussian,20,15000,100,0,0.03871015048894805
curve,correlated_gaussian,20,15000,100,1,0.03748161686308263
curve,correlated_gaussian,20,15000,100,2,0.037462995819984204
curve,correlated_gaussian,20,15000,100,3,0.03822894716536714
curve,correlated_gaussian,20,15000,100,4,0.03767511646985263
curve,correlated_gaussian,20,15000,100,5,0.03878605868286852
curve,bimodal_gaussian,20,15000,100,0,0.037476503205384044
curve,bimodal_gaussian,20,15000,100,1,0.03864784344555765
curve,bimodal_gaussian,20,15000,100,2,0.03851702841460789
curve,bimodal_gaussian,20,15000,100,3,0.03865533630743166
curve,bimodal_gaussian,20,15000,100,4,0.03786625656460034
curve,bimodal_gaussian,20,15000,100,5,0.03844754976282398
curve,funnel,20,15000,100,0,0.0383846197411037
curve,funnel,20,15000,100,1,0.03788642482612273
curve,funnel,20,15000,100,2,0.03820874629150342
curve,funnel,20,15000,100,3,0.03844281232230694
curve,funnel,20,15000,100,4,0.03874449734684152
curve,funnel,20,15000,100,5,0.0384342719682338
curve,correlated_gaussian,20,20000,100,0,0.03508786770881976
curve,correlated_gaussian,20,20000,100,1,0.03478826537685474
curve,correlated_gaussian,20,20000,100,2,0.0338087357925418
curve,correlated_gaussian,20,20000,100,3,0.03550413464264308
curve,correlated_gaussian,20,20000,100,4,0.033906269290117544
curve,correlated_gaussian,20,20000,100,5,0.03549488065518484
curve,bimodal_gaussian,20,20000,100,0,0.03528085034148137
curve,bimodal_gaussian,20,20000,100,1,0.03520332421924428
curve,bimodal_gaussian,20,20000,100,2,0.033877436158089684
curve,bimodal_gaussian,20,20000,100,3,0.034900117724187274
curve,bimodal_gaussian,20,20000,100,4,0.034979316741314305
curve,bimodal_gaussian,20,20000,100,5,0.0350692603346994
curve,funnel,20,20000,100,0,0.03396907149844826
curve,funnel,20,20000,100,1,0.034820418147773605
curve,funnel,20,20000,100,2,0.0351497487838622
curve,funnel,20,20000,100,3,0.035439803372050396
curve,funnel,20,20000,100,4,0.03529699539430682
curve,funnel,20,20000,100,5,0.03570876017642245
all11,banana,20,2000,100,0,0.08541807940910154
all11,banana,20,2000,100,1,0.08583174875422583
all11,banana,20,2000,100,2,0.08436941266178588
all11,banana,20,2000,100,3,0.08617920626171147
all11,banana,20,2000,100,4,0.084967671545264
all11,banana,20,10000,100,0,0.043109164779294905
all11,banana,20,10000,100,1,0.0429484581845659
all11,banana,20,10000,100,2,0.04305813857018514
all11,banana,20,10000,100,3,0.04293795746894745
all11,banana,20,10000,100,4,0.04204152422239444
all11,banana,50,2000,100,0,0.08530264017236094
all11,banana,50,2000,100,1,0.08532236710116599
all11,banana,50,2000,100,2,0.08500805113044153
all11,banana,50,2000,100,3,0.08606387355677539
all11,banana,50,2000,100,4,0.08656667245339371
all11,banana,50,10000,100,0,0.04411413078459523
all11,banana,50,10000,100,1,0.04382237553925258
all11,banana,50,10000,100,2,0.0437814480826035
all11,banana,50,10000,100,3,0.04441925895375447
all11,banana,50,10000,100,4,0.043784280377670765
all11,bimodal_gaussian,20,2000,100,0,0.08479456490740502
all11,bimodal_gaussian,20,2000,100,1,0.08595627950964059
all11,bimodal_gaussian,20,2000,100,2,0.08725145735746957
all11,bimodal_gaussian,20,2000,100,3,0.08559842678478237
all11,bimodal_gaussian,20,2000,100,4,0.08428692411266592
all11,bimodal_gaussian,20,10000,100,0,0.04336911622642009
all11,bimodal_gaussian,20,10000,100,1,0.04377597991042813
all11,bimodal_gaussian,20,10000,100,2,0.04311380472275207
all11,bimodal_gaussian,20,10000,100,3,0.044938782875779903
all11,bimodal_gaussian,20,10000,100,4,0.04481817660824253
all11,bimodal_gaussian,50,2000,100,0,0.08500171469308204
all11,bimodal_gaussian,50,2000,100,1,0.08629991230925382
all11,bimodal_gaussian,50,2000,100,2,0.08584114777722957
all11,bimodal_gaussian,50,2000,100,3,0.0858798810712601
all11,bimodal_gaussian,50,2000,100,4,0.0852572304052072
all11,bimodal_gaussian,50,10000,100,0,0.04299538595000331
all11,bimodal_gaussian,50,10000,100,1,0.043272911596567515
all11,bimodal_gaussian,50,10000,100,2,0.04348936483054797
all11,bimodal_gaussian,50,10000,100,3,0.04392719429811744
all11,bimodal_gaussian,50,10000,100,4,0.04320535115298582
all11,correlated_gaussian,20,2000,100,0,0.0836506396335853
all11,correlated_gaussian,20,2000,100,1,0.08533155124122896
all11,correlated_gaussian,20,2000,100,2,0.08708227516038532
all11,correlated_gaussian,20,2000,100,3,0.08591604466068425
all11,correlated_gaussian,20,2000,100,4,0.0871022557450925
all11,correlated_gaussian,20,10000,100,0,0.04344313483427269
all11,correlated_gaussian,20,10000,100,1,0.04419697163542073
all11,correlated_gaussian,20,10000,100,2,0.043175914207431894
all11,correlated_gaussian,20,10000,100,3,0.04345452303521506
all11,correlated_gaussian,20,10000,100,4,0.04386278298795967
all11,correlated_gaussian,50,2000,100,0,0.08500530534613268
all11,correlated_gaussian,50,2000,100,1,0.0851406016021719
all11,correlated_gaussian,50,2000,100,2,0.08568555052791547
all11,correlated_gaussian,50,2000,100,3,0.08596714701373945
all11,correlated_gaussian,50,2000,100,4,0.08350791835893291
all11,correlated_gaussian,50,10000,100,0,0.043041064553660247
all11,correlated_gaussian,50,10000,100,1,0.0428659322148141
all11,correlated_gaussian,50,10000,100,2,0.043053572124634634
all11,correlated_gaussian,50,10000,100,3,0.04369834762739111
all11,correlated_gaussian,50,10000,100,4,0.04306322255334523
all11,funnel,20,2000,100,0,0.08627165667125522
all11,funnel,20,2000,100,1,0.08654537982730852
all11,funnel,20,2000,100,2,0.08360955131045765
all11,funnel,20,2000,100,3,0.08484767472028001
all11,funnel,20,2000,100,4,0.08687967709521102
all11,funnel,20,10000,100,0,0.04315808650721142
all11,funnel,20,10000,100,1,0.043175119402093794
all11,funnel,20,10000,100,2,0.04423875154894474
all11,funnel,20,10000,100,3,0.04288910678255788
all11,funnel,20,10000,100,4,0.04343677700327755
all11,funnel,50,2000,100,0,0.08609209662324625
all11,funnel,50,2000,100,1,0.0855055295514458
all11,funnel,50,2000,100,2,0.086530266751007
all11,funnel,50,2000,100,3,0.08599591454114835
all11,funnel,50,2000,100,4,0.08697958102645983
all11,funnel,50,10000,100,0,0.04402709587372891
all11,funnel,50,10000,100,1,0.044005895829414
all11,funnel,50,10000,100,2,0.04441580677335364
all11,funnel,50,10000,100,3,0.04334493518043575
all11,funnel,50,10000,100,4,0.042907072706152787
all11,gaussian_ring,20,2000,100,0,0.08572626723667308
all11,gaussian_ring,20,2000,100,1,0.0850447411018096
all11,gaussian_ring,20,2000,100,2,0.08553482774845905
all11,gaussian_ring,20,2000,100,3,0.0853050164999049
all11,gaussian_ring,20,2000,100,4,0.0861668339016926
all11,gaussian_ring,20,10000,100,0,0.04358060318851183
all11,gaussian_ring,20,10000,100,1,0.04359711848945464
all11,gaussian_ring,20,10000,100,2,0.04389393023717963
all11,gaussian_ring,20,10000,100,3,0.04301807473953622
all11,gaussian_ring,20,10000,100,4,0.04531252640404945
all11,rosenbrock,20,2000,100,0,0.08614591636712687
all11,rosenbrock,20,2000,100,1,0.08592299599736064
all11,rosenbrock,20,2000,100,2,0.08667691207456721
all11,rosenbrock,20,2000,100,3,0.08684636972079272
all11,rosenbrock,20,2000,100,4,0.08514552677404387
all11,rosenbrock,20,10000,100,0,0.0438896399345727
all11,rosenbrock,20,10000,100,1,0.043562073540915354
