potential_fn,dimension,repeat,method,ESS,runtime_sec,ESS_per_sec,JS_distance,quality,budget,ablation,alphas
banana,50,2,flowMC-ensemble(M=5)-equal_per_member,9851.31021484375,140.53554487228394,70.09835286721545,0.09508967147172465,737.1815653823089,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
banana,50,3,flowMC-single,1912.5784423828125,28.551857471466064,66.98613021216536,0.12742417628104852,525.6940414856583,equal_per_member,"{""no_w"": true}",
banana,50,3,flowMC-ensemble(M=5)-equal_per_member,9867.1369921875,134.31520223617554,73.46254800582768,0.09261445677823683,793.2082156647753,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
banana,50,4,flowMC-single,1934.0560546875,29.316271781921387,65.97210140070348,0.12963482606347554,508.9072389266779,equal_per_member,"{""no_w"": true}",
banana,50,4,flowMC-ensemble(M=5)-equal_per_member,9816.1053515625,134.0354402065277,73.23514837894675,0.09311333060563061,786.5162582264905,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
bimodal_gaussian,50,0,flowMC-single,1925.762841796875,22.657625436782837,84.99402760319947,0.0849475312360145,1000.5473539549464,equal_per_member,"{""no_w"": true}",
bimodal_gaussian,50,0,flowMC-ensemble(M=5)-equal_per_member,9865.22345703125,119.2039954662323,82.75916774807969,0.06129830612629744,1350.1052961816733,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
bimodal_gaussian,50,1,flowMC-single,1943.1310229492187,22.931283712387085,84.73712363078796,0.08695121888014112,974.5363517858766,equal_per_member,"{""no_w"": true}",
bimodal_gaussian,50,1,flowMC-ensemble(M=5)-equal_per_member,9860.61390625,118.68872261047363,83.07961943959666,0.06178886904853836,1344.5725859512545,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
bimodal_gaussian,50,2,flowMC-single,1939.4049047851563,23.75806474685669,81.63143443919392,0.0853663229986027,956.2486888480613,equal_per_member,"{""no_w"": true}",
bimodal_gaussian,50,2,flowMC-ensemble(M=5)-equal_per_member,9894.29478515625,123.5408353805542,80.08926566408543,0.061747187505284025,1297.0512326125263,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
bimodal_gaussian,50,3,flowMC-single,1948.0010400390624,22.888782024383545,85.10723890698274,0.08839682316036993,962.7861710887596,equal_per_member,"{""no_w"": true}",
bimodal_gaussian,50,3,flowMC-ensemble(M=5)-equal_per_member,9859.93044921875,123.6284568309784,79.7545379272912,0.06188166150490753,1288.823473509454,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
bimodal_gaussian,50,4,flowMC-single,1945.8692578125,24.44791054725647,79.59245654352513,0.08500816911272258,936.2918572917845,equal_per_member,"{""no_w"": true}",
bimodal_gaussian,50,4,flowMC-ensemble(M=5)-equal_per_member,9911.24080078125,112.08855938911438,88.42330434789933,0.06103409906376842,1448.7525121901886,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
funnel,50,0,flowMC-single,1937.2567407226563,20.789346933364868,93.18506959030775,0.08640306679724008,1078.492616575553,equal_per_member,"{""no_w"": true}",
funnel,50,0,flowMC-ensemble(M=5)-equal_per_member,9885.67224609375,108.16538095474243,91.39405010028138,0.08085453407880783,1130.3515769591947,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
funnel,50,1,flowMC-single,1951.4789721679688,21.630629062652588,90.21831803945959,0.08652916456397017,1042.634798268069,equal_per_member,"{""no_w"": true}",
funnel,50,1,flowMC-ensemble(M=5)-equal_per_member,9835.33244140625,116.4337866306305,84.47146422032492,0.08273730008955975,1020.9598830139249,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
funnel,50,2,flowMC-single,1925.6853686523436,20.616944789886475,93.40304241378081,0.08647156240219145,1080.1590698610264,equal_per_member,"{""no_w"": true}",
funnel,50,2,flowMC-ensemble(M=5)-equal_per_member,9844.30044921875,104.99643993377686,93.75842128959542,0.08097600189121718,1157.8544148864016,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
funnel,50,3,flowMC-single,1956.3328125,20.383692264556885,95.97538989055809,0.08868688355838124,1082.1824608075099,equal_per_member,"{""no_w"": true}",
funnel,50,3,flowMC-ensemble(M=5)-equal_per_member,9844.843515625,109.35358452796936,90.02762514023475,0.08161661670326822,1103.0550980512492,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
funnel,50,4,flowMC-single,1922.3108032226562,22.23388671875,86.45860382123641,0.08707810369827305,992.8856985771852,equal_per_member,"{""no_w"": true}",
funnel,50,4,flowMC-ensemble(M=5)-equal_per_member,9871.9329296875,109.19252896308899,90.40850160201501,0.07910269410192482,1142.925694610635,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
correlated_gaussian,50,0,flowMC-single,1925.9047387695311,21.37567687034607,90.09795340990065,0.0842737572713866,1069.1104363575296,equal_per_member,"{""no_w"": true}",
correlated_gaussian,50,0,flowMC-ensemble(M=5)-equal_per_member,9858.1713671875,111.31774258613586,88.5588508908129,0.07004981717614919,1264.2267240772433,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
correlated_gaussian,50,1,flowMC-single,1941.8942626953126,21.618680000305176,89.82483031655495,0.08576358207193122,1047.3539950933662,equal_per_member,"{""no_w"": true}",
correlated_gaussian,50,1,flowMC-ensemble(M=5)-equal_per_member,9906.4048046875,137.2689652442932,72.16784061173176,0.07128026731558512,1012.4518794551796,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
correlated_gaussian,50,2,flowMC-single,1938.4911889648438,24.016016960144043,80.71659810125388,0.08544078975460519,944.7080057789766,equal_per_member,"{""no_w"": true}",
correlated_gaussian,50,2,flowMC-ensemble(M=5)-equal_per_member,9779.7834765625,117.488352060318,83.24045154315895,0.07003481515279804,1188.5581672708008,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
correlated_gaussian,50,3,flowMC-single,1930.6603466796876,22.231672763824463,86.84278359032308,0.08693973595196333,998.8848325730617,equal_per_member,"{""no_w"": true}",
correlated_gaussian,50,3,flowMC-ensemble(M=5)-equal_per_member,9785.80146484375,116.85464072227478,83.74337043319824,0.06941936945673427,1206.3401193148466,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
correlated_gaussian,50,4,flowMC-single,1958.4785961914063,22.00348997116089,89.00763464151856,0.0858508699741178,1036.77032822559,equal_per_member,"{""no_w"": true}",
